country,name,speciality,healthcare,amenity,address,phone,email,website,opening_hours,lat,lon,osm_type,osm_id,osm_url,operator,brand,osm_key,tags_json
RO,Spitalul Municipal Caracal,internal;psychiatry;dermatology;gynaecology;ophthalmology;urology;paediatrics;radiology;covid19;surgery;dentist;physiotherapy,hospital,hospital,"Strada Plevnei 36, Caracal, 235200",,,,,44.1164033,24.3547798,node,387738696,https://www.openstreetmap.org/node/387738696,,,node/387738696,"{""addr:city"": ""Caracal"", ""addr:housenumber"": ""36"", ""addr:postcode"": ""235200"", ""addr:street"": ""Strada Plevnei"", ""amenity"": ""hospital"", ""emergency"": ""yes"", ""healthcare"": ""hospital"", ""healthcare:speciality"": ""internal;psychiatry;dermatology;gynaecology;ophthalmology;urology;paediatrics;radiology;covid19;surgery;dentist;physiotherapy"", ""name"": ""Spitalul Municipal Caracal"", ""source"": ""local_knowledge""}"
RO,Maternitatea de Psihologie,,hospital,hospital,,,,,,45.8071281,24.1564076,node,482810761,https://www.openstreetmap.org/node/482810761,,,node/482810761,"{""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""is_in:city"": ""Sibiu"", ""is_in:country"": ""Romania"", ""is_in:country_code"": ""RO"", ""is_in:county"": ""Sibiu"", ""name"": ""Maternitatea de Psihologie""}"
RO,Laborator psihologic,,doctor,doctors,,,,,,47.1696989,27.5800439,node,602161394,https://www.openstreetmap.org/node/602161394,,,node/602161394,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Laborator psihologic""}"
RO,Cabinet stomatologic,,doctor,doctors,,,,,,47.167317,27.5736159,node,602479879,https://www.openstreetmap.org/node/602479879,,,node/602479879,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""name"": ""Cabinet stomatologic""}"
RO,"Institutul Național de Recuperare, Medicină Fizică și Balneoclimatologie",physiotherapy,clinic,clinic,"Strada Sfântul Dumitru 2, București, 030101",,,,,44.4310894,26.0986545,node,628598192,https://www.openstreetmap.org/node/628598192,,,node/628598192,"{""addr:city"": ""București"", ""addr:housenumber"": ""2"", ""addr:postcode"": ""030101"", ""addr:street"": ""Strada Sfântul Dumitru"", ""amenity"": ""clinic"", ""healthcare"": ""clinic"", ""healthcare:speciality"": ""physiotherapy"", ""name"": ""Institutul Național de Recuperare, Medicină Fizică și Balneoclimatologie"", ""source:addr:street"": ""survey""}"
RO,Spitalul de Pneumoftiziologie,pulmonology,hospital,hospital,Roșiorii de Vede,,,,,44.0994384,24.964765,node,670348276,https://www.openstreetmap.org/node/670348276,,,node/670348276,"{""addr:city"": ""Roșiorii de Vede"", ""alt_name"": ""Spitalul TBC Roșiorii de Vede"", ""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""healthcare:speciality"": ""pulmonology"", ""name"": ""Spitalul de Pneumoftiziologie""}"
RO,Centru Medical Gastroenterologie,endocrinology,hospital,hospital,,,,,,46.5394804,24.5768488,node,1260283776,https://www.openstreetmap.org/node/1260283776,,,node/1260283776,"{""amenity"": ""hospital"", ""healthcare"": ""hospital"", ""healthcare:speciality"": ""endocrinology"", ""name"": ""Centru Medical Gastroenterologie""}"
RO,Cabinet Radiografie Dentară,,clinic,clinic,,,,,,45.7619553,21.2443541,node,1264076930,https://www.openstreetmap.org/node/1264076930,,,node/1264076930,"{""amenity"": ""clinic"", ""healthcare"": ""clinic"", ""name"": ""Cabinet Radiografie Dentară""}"
RO,Cabinet de Ginecologie,gynaecology,doctor,doctors,,,,,,45.8430509,27.4337417,node,1340724302,https://www.openstreetmap.org/node/1340724302,,,node/1340724302,"{""amenity"": ""doctors"", ""healthcare"": ""doctor"", ""healthcare:speciality"": ""gynaecology"", ""name"": ""Cabinet de Ginecologie""}"
RO,Stomatologia Medical Tour Company,,clinic,clinic,"Strada Smeurei 58, Pitești, 110046","+40 348-457 046, +40 730-030 400",info@medicaltours.ro,https://www.medicaltours.ro/,Mo-Fr 09:00-21:00; Sa 09:00-14:00,44.8550932,24.8622915,node,1495076011,https://www.openstreetmap.org/node/1495076011,,,node/1495076011,"{""addr:city"": ""Pitești"", ""addr:housenumber"": ""58"", ""addr:postcode"": ""110046"", ""addr:street"": ""Strada Smeurei"", ""amenity"": ""clinic"", ""email"": ""info@medicaltours.ro"", ""healthcare"": ""clinic"", ""name"": ""Stomatologia Medical Tour Company"", ""opening_hours"": ""Mo-Fr 09:00-21:00; Sa 09:00-14:00"", ""phone"": ""+40 348-457 046, +40 730-030 400"", ""website"": ""https://www.medicaltours.ro/""}"
